pedido|area_operativa|subz|ruta|municipio|contrato|acta|actividad|fecha_estado|pagina|urbrur|tipre|red_interna|tipo_operacion|descent|tipo|cobro|suminis|item_cont|item_res|cantidad|vlr_cliente|valor_costo|tipo_item
23628444|SUR-ENE|MET|05|Medellín|CW352017||AMRTR|11-FEB-26|147048500000000000|R|||MET||CON|NO||D03R||1|0|169478.58|
23632209|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|11-FEB-26|040212005000350807|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23632209|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|11-FEB-26|040212005000350807|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23632213|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|11-FEB-26|040212005000350706|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23632213|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|11-FEB-26|040212005000350706|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23643649|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|03-FEB-26|163010121100000301|U|ENEPRE||MET||SUM|NO|200098||200098|1|0|172852.32|
23643649|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|03-FEB-26|163010121100000301|U|ENEPRE||MET||SUM|NO|215887||215887|1|0|1134.85|
23643649|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|03-FEB-26|163010121100000301|U|ENEPRE||MET||SUM|NO|219404||219404|1|0|400|
23643649|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|03-FEB-26|163010121100000301|U|ENEPRE||MET||SUM|NO|325998||325998|1|0|1805|
23643649|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|03-FEB-26|163010121100000301|U|ENEPRE||MET||CON|NO||A02U||1|0|63259.22|
23643649|SUR-ENE|MET|360|Itaguí|CW352017||DSPRE|03-FEB-26|163010121100000301|U|ENEPRE||MET||CON|NO||A14U||1|0|132639.22|
